User-ID;Text-ID;Frage;Antwort;richtige_Antwort
DisRating;127;Which city is the second largest in Russia?;St. Petersburg ;St. Petersburg 
DisRating;153;What is another industry in the city? ;Agriculture;Movie making 
DisRating;102;What is a proper office of public authority according to the text? ;To guard against accidents ;To guard against accidents 
DisRating;64;What is notable about Warp Records?;It was founded in Sheffield in 1989;It was founded in Sheffield in 1989
DisRating;137;What accelerated the industrial growth in the city during the 19th century?;Advances in technology and medicine;Improvements in communications and extension of trade 
DisRating;39;When was Ashland Coal, Inc. formed?;1975;1975
DisRating;144;Where did large demonstrations in favor of democracy take place in 1989?;Wenceslas Square ;Wenceslas Square 
DisRating;74;What type of tenancy do they usually offer? ;Assured tenancy;Assured tenancy
DisRating;95;How does the speaker compare their own perception? ;Uncertain and unreliable.;More perfect and comprehensive
DisRating;140;What divides the city into two sections?;A river ;A river 
DisRating;12;What gives the coconut flavor to the cake mentioned in the text?;Coconut cream ;Coconut cream 
DisRating;152;What is notable about Prague? ;It is a centuries-old city with a wealth of historic landmarks;It is a centuries-old city with a wealth of historic landmarks
DisRating;71;When were the conservation area evaluation and management proposals adopted?;19th March 2007;19th March 2007
DisRating;75;What is the main difference in the procedure? ;Building Control formally assesses information.;Building Notice route involves less paperwork
DisRating;128;What is the oldest university in Dublin? ;Trinity College ;Trinity College 
DisRating;14;What distinguishes white chocolate from other types of chocolate? ;It contains no cocoa;It contains no cocoa
DisRating;150;What still stands in the city? ;Several centuries-old mosques ;Several centuries-old mosques 
DisRating;10;What is the role of parasitic wasps in agricultural pest control?;They prey on pest insects and have little impact on crops. ;They prey on pest insects and have little impact on crops. 
DisRating;39;When was Ashland Coal, Inc. formed?;1975;1975
DisRating;15;What action must the governor of the affected state take for FEMA and the federal government to respond to a disaster? ;Implement evacuation procedures.;Declare a state of emergency. 
DisRating;79;What happens if there is no response after the further 28 days? ;Right to buy application is closed.;Right to buy application is closed.
DisRating;158;What happened to the city after the war? ;It was returned to the Dutch ;It was returned to the Dutch 
DisRating;120;When were Old Havana and its fortifications added to UNESCO's World Heritage List?;1982;1982
DisRating;124;How many inhabitants did Tenochtitlan have when the Spaniards arrived in 1519?;100000;100000
DisRating;151;What do the city's factories produce? ;Food, beverages, chemicals, textiles, and pharmaceuticals ;Food, beverages, chemicals, textiles, and pharmaceuticals 
DisRating;90;What was not clear to the speaker regarding their potential impact?;Their influence as a member of the House of Commons;Their influence as a member of the House of Commons
DisRating;126;What is the Ringstrasse, or Ring, surrounded by? ;Grand buildings, monuments, and parks ;Grand buildings, monuments, and parks 
DisRating;33;What structures do algae lack compared to land plants? ;Leaves, roots, and other organs;Leaves, roots, and other organs
DisRating;106;What may exist in a general atmosphere of mental slavery? ;Individual thinkers;Individual thinkers
DisRating;61;What information is specified on the licence? ;Number of animals allowed and general conditions.;Number of animals allowed and general conditions.
DisRating;29;How does the MD degree in other countries compare to other academic degrees?;It is equivalent to a PhD or a higher doctorate;It is equivalent to a PhD or a higher doctorate
DisRating;72;Why were the maps created?;To show areas of Access Land in Sheffield.;To show areas of Access Land in Sheffield.
DisRating;121;How was the city divided by the Allied powers in September?;Into four zones ;Into four zones 
DisRating;70;When did the miners' dispute begin? ;6 March 1984;6 March 1984
DisRating;67;What is used to identify health and wellbeing priorities? ;Public opinion polls;Joint Strategic Needs Assessment
DisRating;125;How far is Bangkok located from the Gulf of Thailand? ;About 40 miles ;About 25 miles 
DisRating;15;What action must the governor of the affected state take for FEMA and the federal government to respond to a disaster? ;Declare a state of emergency. ;Declare a state of emergency. 
DisRating;154;What is the history of the church mentioned? ;It was built in the 10th century;It began as a wooden church in the 5th century and was rebuilt in the 12th century
DisRating;139;What is still vigorously alive in Kiev? ;Its ancient tradition as a cultural center ;Its ancient tradition as a cultural center 
